Ep   37/1500 | Reward=  -66.59 | EpBest=  3162.5万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 5.70% | Imp= 3 | MILP= 18 | ALoss=-0.1007 CLoss=182.7651 | LR=1.0e-04 | Time=612s
Ep   38/1500 | Reward= -463.86 | EpBest=  3316.2万 | GlobalBest=  2828.6万 | LPSP=-0.00% | LREG= 7.12% | Imp=12 | MILP= 39 | ALoss=-0.1035 CLoss=22193.6404 | LR=1.0e-04 | Time=633s
Ep   39/1500 | Reward= -182.74 | EpBest=  3315.9万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 2.89% | Imp= 8 | MILP= 36 | ALoss=-0.0941 CLoss=549.7703 | LR=1.0e-04 | Time=654s
Ep   40/1500 | Reward=  -57.48 | EpBest=  3317.6万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 1.69% | Imp= 0 | MILP= 15 | ALoss=-0.1248 CLoss=252.0972 | LR=1.0e-04 | Time=663s
Ep   41/1500 | Reward= -116.71 | EpBest=  3131.1万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 0.63% | Imp= 4 | MILP= 24 | ALoss=-0.1105 CLoss=405.8018 | LR=1.0e-04 | Time=679s
Ep   42/1500 | Reward= -827.30 | EpBest=  2715.8万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 2.09% | Imp= 1 | MILP= 16 | ALoss= 0.2848 CLoss=166722.4312 | LR=1.0e-04 | Time=687s
Ep   43/1500 | Reward=  -57.94 | EpBest=  2926.5万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 2.01% | Imp= 1 | MILP= 16 | ALoss=-0.1073 CLoss=127.5371 | LR=1.0e-04 | Time=697s
Ep   44/1500 | Reward=  -74.59 | EpBest=  3458.0万 | GlobalBest=  2715.8万 | LPSP= 0.01% | LREG= 9.59% | Imp= 4 | MILP= 20 | ALoss=-0.0962 CLoss=121.0347 | LR=1.0e-04 | Time=708s
Ep   45/1500 | Reward= -126.82 | EpBest=  3457.1万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 2.35% | Imp= 9 | MILP= 29 | ALoss=-0.1112 CLoss=224.3550 | LR=1.0e-04 | Time=724s
Ep   46/1500 | Reward= -122.60 | EpBest=  3549.8万 | GlobalBest=  2715.8万 | LPSP= 0.21% | LREG= 4.99% | Imp= 8 | MILP= 26 | ALoss=-0.1187 CLoss=133.4885 | LR=1.0e-04 | Time=739s
Ep   47/1500 | Reward= -187.50 | EpBest=  3567.3万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 6.29% | Imp=11 | MILP= 46 | ALoss=-0.0964 CLoss=547.3545 | LR=1.0e-04 | Time=761s
Ep   48/1500 | Reward= -166.65 | EpBest=  4158.7万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 7.30% | Imp= 7 | MILP= 36 | ALoss=-0.0750 CLoss=398.2915 | LR=1.0e-04 | Time=776s
Ep   49/1500 | Reward= -902.39 | EpBest=  3592.9万 | GlobalBest=  2715.8万 | LPSP= 0.04% | LREG= 6.20% | Imp= 8 | MILP= 36 | ALoss=-0.1186 CLoss=16899.8263 | LR=1.0e-04 | Time=797s
Ep   50/1500 | Reward= -302.80 | EpBest=  3068.1万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 5.67% | Imp= 8 | MILP= 40 | ALoss=-0.1258 CLoss=1788.1478 | LR=1.0e-04 | Time=824s
Ep   51/1500 | Reward= -142.70 | EpBest=  3033.6万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 5.35% | Imp= 6 | MILP= 41 | ALoss=-0.1004 CLoss=326.4753 | LR=1.0e-04 | Time=850s
Ep   52/1500 | Reward=  -58.66 | EpBest=  3042.1万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 0.89% | Imp= 1 | MILP= 16 | ALoss=-0.0868 CLoss=1072.3233 | LR=1.0e-04 | Time=859s
Ep   53/1500 | Reward=  -62.10 | EpBest=  3435.1万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 3.74% | Imp= 0 | MILP= 15 | ALoss=-0.1048 CLoss=489.3496 | LR=1.0e-04 | Time=867s
Ep   54/1500 | Reward= -114.78 | EpBest=  3436.6万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 3.62% | Imp=10 | MILP= 28 | ALoss=-0.1014 CLoss=226.9857 | LR=1.0e-04 | Time=882s
